institute,country,us_state,type
"Naval Health Research Center, Navy, San Diego, California",United States,California,Government
"Schulich School of Medicine and Dentistry, University of Western Ontario, London, Ontario, Canada",Canada,NA,Medical Center
"Department of Ophthalmology and Vision Sciences, University of Toronto, Toronto, Ontario, Canada",Canada,NA,Medical Center
"Department of Otolaryngology-Head and Neck Surgery, Stanford University School of Medicine, Stanford, California.",United States,California,Medical Center
"Department of Physiology, Panimalar Medical College Hospital and Research Institute, Varadharajapuram, Chennai, Tamil Nadu, India.",India,NA,Medical Center
"Departments of Biochemistry, Medical Education, Molecular Virology, Research, Clinical Skills and Simulation, Panimalar Medical College Hospital and Research Institute, Varadharajapuram, Chennai, Tamil Nadu, India.",India,NA,Medical Center
PÃ¤dagogische Hochschule Wien,Austria,NA,NA
"Tencent, Beijing",China,NA,NA
"Key Laboratory of Carcinogenesis and Translational Research (Ministry of Education), Endoscopy Center, Peking University Cancer Hospital Institute, No. 52 Fucheng Road, Haidian District, Beijing, 100142, China",China,NA,Medical Center
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China",China,NA,NA
"Cymax Group Technologies, British Columbia, Canada",Canada,NA,NA
"Department of Computer Science, University of Western Ontario, London, Canada",Canada,NA,University
"School of Computer Science and Engineering, The University of New South Wales (UNSW), Sydney, Australia",Australia,NA,University
"School of Computer Science, University of Birmingham, UK",United Kingdom,NA,University
"School of Computer Science and Informatics, Cardiff University, Cardiff, UK",United Kingdom,NA,University
"Department of Computer Science, University of Manchester, Oxford Road, Manchester, UK",United Kingdom,NA,University
"Te Whatu Ora â€“ Waitemata, Auckland, New Zealand",New Zealand,NA,NA
"Institute of Refrigeration and Cryogenics, Zhejiang University, Hangzhou, 310027, China",China,NA,University
"Department of Chemistry, University of Kansas, Lawrence, KS 66045, USA",United States,Kansas,University
"Department of Economics, Thompson Rivers University, Kamloops, British Columbia, V2C 0C8, Canada",Canada,NA,University
"Department of English, Valparaiso University, 227 Arts and Sciences Building, 1410 Chapel Drive, Valparaiso, IN 46383, United States",United States,Indiana,University
"Departments of Emergency Medicine and Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, MD.",United States,Maryland,Medical Center
"Artie McFerrin Department of Chemical Engineering, Texas AM University, College Station, TX 77845, USA",United States,Texas,University
"WU Vienna University of Economics and Business, Vienna, Austria",Austria,NA,University
"University College Dublin School of Medicine, Belfield, Dublin, Ireland",Ireland,NA,Medical Center
"Department of Methodology, Faculty of Physical Education and Sport, Charles University, Prague, Czech Republic.",Czechia,NA,University
Anadolu Ãœniversitesi,Turkey,NA,University
"Childrenâ€™s Hospital of Orange County Sharon Disney Lund Medical Intelligence and Innovation Institute, 1201 W. La Veta Ave, 92868-3874, Orange, CA, USA",United States,California,Medical Center
"U.O.C. Otorhinolaryngology, ASST Grande Ospedale Metropolitano Niguarda, Piazza Ospedale Maggiore, 3, 20162, Milan, Italy",Italy,NA,NA
"Center for Entrepreneurship and Organizational Excellence, College of Business and Economics, Qatar University, Doha, Qatar",Qatar,NA,University
"The University of Newcastle, Australia",Australia,NA,University
"Department of Medical Nursing, Faculty of Nursing, Mahidol University, Bangkok, Thailand",Thailand,NA,Medical Center
"College of Art and Science, Department of Anthropology, Case Western Reserve University, Cleveland, OH, USA",United States,Ohio,University
"Research Unit on Theory of Mind, Department of Psychology, UniversitÃ  Cattolica del Sacro Cuore, Milan, Italy.",Italy,NA,University
"Research Unit on Psychology and Robotics in the Lifespan, Department of Psychology, UniversitÃ  Cattolica del Sacro Cuore, Milan, Italy.",Italy,NA,University
"Department of Plastic Surgery, Peninsula Health, 3199, Melbourne, VIC, Australia",Australia,NA,Medical Center
"Department of Surgery, Stanford University, Stanford, CA, USA",United States,California,Medical Center
"Department of Surgery, The Ohio State University Wexner Medical Center, Columbus, OH, USA",United States,Ohio,Medical Center
"Sackler School of Medicine, Tel-Aviv University, Tel-Aviv, Israel",Israel,NA,Medical Center
"DeepVision Lab, Chaim Sheba Medical Center, Tel Hashomer, Israel",Israel,NA,Medical Center
"Department of Diagnostic Imaging, Chaim Sheba Medical Center, Tel Hashomer, Israel",Israel,NA,Medical Center
"Department of Pathology, Chaim Sheba Medical Center, Tel Hashomer, Israel",Israel,NA,Medical Center
"Computer Science Department, University of Salerno, 84084, Fisciano, Italy",Italy,NA,University
"Computer Science Department, University of Bari Aldo Moro, 70121, Bari, Italy",Italy,NA,University
"The University of Ottawa, Ottawa, Canada. *Email: ibm4chk@yahoo.fr",Canada,NA,University
"Department of Educational Psychology and Guidance, Faculty of Education and Psychology, Universitas Negeri Yogyakarta, Sleman, Daerah Istimewa Yogyakarta, 55281, Indonesia.",Indonesia,NA,University
"Research Unit of Radiology, Department of Medicine and Surgery, Fondazione Policlinico Universitario Campus Bio-Medico, UniversitÃ  Campus Bio-Medico di Roma, Via Ãlvaro del Portillo, 200, 00128, Rome, RM, Italy",Italy,NA,Medical Center
"Duke Molecular Physiology Institute, Duke University School of Medicine, Durham, North Carolina, USA.",United States,North Carolina,Medical Center
"State Key Laboratory of Toxicology and Medical Countermeasures, Beijing Institute of Pharmacology and Toxicology, Beijing, China.",China,NA,NA
"Departamento de Medicina y Ciencias de la Salud, Universidad de Sonora, Hermosillo, Sonora, MÃ©xico.",Mexico,NA,University
"Kazan State Medical University, 420012, Kazan, Russia",Russia,NA,Medical Center
Vardhman Mahavir Medical College and Safdarjung Hospital,India,NA,Medical Center
Jamia Hamdard,India,NA,NA
"Independent researcher, Ikenobe 3011-2, 761-0799, Kagawa-ken, Japan",Japan,NA,NA
"Tallinn University of Technology, Tallinn, Estonia",Estonia,NA,University
"Tampere University, Pori, Finland",Finland,NA,University
"University of Lapland, Rovaniemi, Finland",Finland,NA,University
"I. gymnasium Osijek, Osijek, Croatia",Croatia,NA,NA
"Department of Informatics and Telecommunications, University of Peloponnese, 221 00 Tripoli, Greece",Greece,NA,University
"adjunct professor, Joesph Ayobabalola University, Ikeji-Arakeji, Nigeria.",Nigeria,NA,University
Universidade Federal de SÃ£o Carlos,Brazil,NA,University
"School of Chemical Engineering, University of New South Wales, Sydney, Australia",Australia,NA,University
"Department of Economics and Law, University of Macerata, Macerata, Italy",Italy,NA,University
"Montefiore Medical Center, Bronx, NY, USA",United States,New York,Medical Center
"Department of Pathology and Laboratory Medicine, Weill Cornell Medicine, New York, NY 10065, United States.",United States,New York,Medical Center
"Department of Psychology and Educational Counseling, The Center for Psychobiological Research, Max Stern Yezreel Valley College, Emek Yezreel, Israel",Israel,NA,University
"Peninsula Clinical School, Central Clinical School at Monash University, The Alfred Centre, Melbourne, Victoria, Australia",Australia,NA,University
Peking University Third Hospital,China,NA,Medical Center
"Center for Research on Foundation Models, Stanford University, Stanford, California, USA",United States,California,University
"Department of Family Medicine, Taipei Veterans General Hospital Hsinchu Branch, Hsinchu, Taiwan, ROC.",Taiwan,NA,Medical Center
"Division of Nuclear Medicine and Molecular Imaging, Department of Radiology, Stanford University, Stanford, CA, USA",United States,California,Medical Center
"Govindram Seksaria Institute of Dacryology, L.V. Prasad Eye Institute, Road no 2, Banjara Hills, -34, Hyderabad, India",India,NA,Medical Center
"Faculty of Medicine, Laval University, Quebec City, Quebec, Canada.",Canada,NA,Medical Center
"Division of Plastic, Reconstructive, and Aesthetic Surgery, McGill University Health Centre, Montreal, Quebec, Canada.",Canada,NA,Medical Center
"From the Division of Plastic Surgery, Department of Surgery, St. Louis University School of Medicine, St. Louis, MO, USA.",United States,Missouri,Medical Center
"Department of Leukemia, The University of Texas MD Anderson Cancer Center, Houston, TX, United States",United States,Texas,Medical Center
"Maroone Cancer Center, Cleveland Clinic Florida, Weston, FL, United States",United States,Florida,Medical Center
"Division of Hematology and Oncology, State University of New York Upstate Medical University, Syracuse, NY, United States",United States,New York,Medical Center
"Research Institute, Cleveland Clinic Foundation, Cleveland, OH, United States",United States,Ohio,Medical Center
"Department of Anorectal Surgery, Ningbo No.2 Hospital, Ningbo, Zhejiang, China.",China,NA,Medical Center
"Department of Biomedical Systems Informatics, Yonsei University College of Medicine, Yongin, Republic of Korea",South Korea,NA,Medical Center
"Institute for Innovation in Digital Healthcare (IIDH), Severance Hospital, Seoul, Republic of Korea",South Korea,NA,Medical Center
"Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, 56126 Pisa, Italy",Italy,NA,Medical Center
"Intel Corporation, Santa Clara, USA",United States,California,Industry
"Lady Davis Institute for Cancer Research, Jewish General Hospital, McGill University, Quebec, Canada",Canada,NA,Medical Center
"Department of Radiology, Stanford University School of Medicine, 875 Blake Wilbur Drive, Palo Alto, CA 94304.",United States,California,Medical Center
"Department of Surgical, Medical, Molecular and Critical Area Pathology, University of Pisa, Pisa, Italy",Italy,NA,Medical Center
"University of Illinois, Springfield, IL, USA",United States,Illinois,University
"Rensselaer Polytechnic Institute, Troy, NY, USA",United States,New York,University
"Department of Biomedical Sciences, Imam Abdulrahman Bin Faisal University, Dammam, SAU",Saudi Arabia,NA,Medical Center
Gaziantep Islam Science and Technology University,Turkey,NA,University
"University of Adelaide, Adelaide, South Australia, Australia.",Australia,NA,University
"Department of Specialty Internal Medicine and Quality, Johns Hopkins Aramco Healthcare, Dhahran, SAU",Saudi Arabia,NA,Medical Center
"Petronas, Kuala Lumpur, Malaysia",Malaysia,NA,NA
"Centre for Research in Assessment and Digital Learning (CRADLE), Deakin University, Docklands, Victoria, Australia",Australia,NA,University
"Department of Urology, Jiangsu Cancer Hospital & Jiangsu Institute of Cancer Research & Affiliated Cancer Hospital of Nanjing Medical University, Nanjing 210009",China,NA,Medical Center
"Department of Pathology, Jiangsu Cancer Hospital & Jiangsu Institute of Cancer Research & Affiliated Cancer Hospital of Nanjing Medical University, Nanjing 210009",China,NA,Medical Center
"Department of Urology, Shanghai Tenth People's Hospital, School of Medicine, Tongji University, No. 301, Yanchang Road, Jing'an District, Shanghai, 200072",China,NA,Medical Center
"The Open University Law School, The Open University, Milton Keynes, UK",United Kingdom,NA,University
"ITIS Software, Universidad de MÃ¡laga, ETSI InformÃ¡tica, Campus de Teatinos. Bulevar Louis Pasteur, 35. 29071, MÃ¡laga, Spain",Spain,NA,University
"Chandigarh University, Mohali, Punjab, India",India,NA,University
"Neurological Surgery, Mount Sinai Health System, New York, USA",United States,New York,Medical Center
"Pulmonary Critical Care, Louisiana State University Health Sciences Center, Shreveport, USA",United States,Louisiana,Medical Center
"MaREI, The Science Foundation Ireland Research Centre for Energy, Climate and Marine, Ryan Institute, University of Galway, University Road, H91W2TY Galway, Ireland",Ireland,NA,University
"Ear Reconstruction Center, Plastic Surgery Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China.",China,NA,Medical Center
"Department of Plastic Surgery, The Second Hospital of Hebei Medical University, Shijiazhuang, China.",China,NA,Medical Center
"University â€œDÅ¾emalBijediÄ‡â€ of Mostar, Sjevernilogor bb., 88 000, Mostar, Bosnia and Herzegovina",Bosnia and Herzegovina,NA,University
Princeton University,United States,New Jersey,University
Srinakharinwirot University,Thailand,NA,University
Tsinghua University,China,NA,University
University of Tampa,United States,Florida,University
"International School of Medicine, Istanbul Medipol University, Istanbul, Turkey",Turkey,NA,Medical Center
"Infectious Diseases Division, Department of Medicine, Indiana University School of Medicine, Indianapolis, IN, USA.",United States,Indiana,Medical Center
"Infectious Diseases Division, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA.",United States,Maryland,Medical Center
"Department of Pediatrics, King Saud University Medical City, Riyadh, Saudi Arabia.",Saudi Arabia,NA,Medical Center
Non-profit limited company â€œM. Kozybayev North Kazakhstan Universityâ€,Kazakhstan,NA,University
"Department of Electronics Technology, Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics, H-1111 Budapest, Hungary, illes.balazs@vik.bme.hu, (B.I.);, krammer.oliver@vik.bme.hu, (O.K.)",Hungary,NA,University
"Dept. of Population Health Sciences, Weill Cornell Medicine, New York, NY, USA.",United States,New York,Medical Center
"Royal Free Hospital, London, UK. Electronic address: liam.birkett@nhs.net.",United Kingdom,NA,Medical Center
"Princess Alexandra Hospital, Essex, UK.",United Kingdom,NA,Medical Center
"Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA, USA",United States,Massachusetts,University
"Department of Anesthesia, Critical Care and Pain Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, USA",United States,Massachusetts,Medical Center
"Center for Anesthesia Research Excellence, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, USA.",United States,Massachusetts,Medical Center
"Department of Urology, Wake Forest University School of Medicine, Winston-Salem, NC. Electronic address: ndeebel@wakehealth.edu.",United States,North Carolina,Medical Center
"Department of Radiology, Wake Forest University School of Medicine, Winston-Salem, NC 27103, United States",United States,North Carolina,Medical Center
"Biomedical Imaging Center, Rensselaer Polytechnic Institute, Troy, NY 12180, United States",United States,New York,University
"Department of Dermatology, Icahn School of Medicine at Mount Sinai, New York, NY, US",United States,New York,Medical Center
"Sikkim University, Gangtok, India.",India,NA,University
Norton Healthcare,United States,Kentucky,Medical Center
University of Louisville,United States,Kentucky,University
"School of Computer Science and Engineering, Southeast University, 2 Dongda Rd, 211189, Nanjing, Jiangsu, China",China,NA,University
"Department of Computer Science, The University of Manchester, Oxford Rd, M13 9PL, Manchester, UK",United Kingdom,NA,University
"KU Leuven Biomedical Sciences Group: Katholieke Universiteit Leuven Groep, Biomedische Wetenschappen Leuven, BELGIUM.",Bahrain,NA,Medical Center
"Institute of Medical Education, University Hospital of LMU Munich, Munich, Germany",Germany,NA,Medical Center
"Faculty for Philosophy and Social Sciences, University of Augsburg, Augsburg, Germany",Germany,NA,University
"State Key Laboratory of Ophthalmology, Guangdong Provincial Key Laboratory of Ophthalmology and Visual Science, Zhongshan Ophthalmic Center, Sun Yatâ€Sen University, Guangzhou, China",China,NA,Medical Center
The BMJ.,United Kingdom,NA,NA
"Industrial and Management Systems Engineering, Benjamin M Statler College of Engineering and Mineral Resources, West Virginia University, Morgantown, WV, United States",United States,West Virginia,University
"Clinical College of Neurology, Neurosurgery and Neurorehabilitation, Tianjin Medical University, Tianjin, China.",China,NA,Medical Center
"Joesph Ayobabalola University, Ikejiâ€Arakeji, Nigeria",Nigeria,NA,University
"Department of Otolaryngology-Head & Neck Surgery, Harvard Medical School, Boston, Massachusetts, USA",United States,Massachusetts,Medical Center
"Educational Technology Leadership, George Washington University, Washington, DC, USA",United States,Washington,University
"From the Department of Diagnostic Imaging, Warren Alpert Medical School of Brown University and Rhode Island Hospital, 593 Eddy St, 3rd Floor, Providence, RI 02903 (A.P.L., G.L.B.)",United States,Rhode Island,Medical Center
"and Department of Radiology, Boston University Medical Center, Boston, Mass (P.J.S.).",United States,Massachusetts,Medical Center
"From the University Medical Imaging Toronto, Joint Department of Medical Imaging, University Health Network, Mount Sinai Hospital and Women's College Hospital, University of Toronto, Toronto General Hospital, 200 Elizabeth St, Peter Mulk Building, 1st Fl, Toronto, ON, Canada M5G 24C.",Canada,NA,Medical Center
"School of Applied Meteorology, Nanjing University of Information Science & Technology (NUIST), Nanjing 210044, China.",China,NA,University
"Shanghai Institute of Early Childhood Education, Shanghai Normal University",China,NA,University
"College of Information Engineering, Shanghai Maritime University",China,NA,University
"Department of Computer Science, Lahore Leads University, Lahore, Pakistan",Pakistan,NA,University
"Department of Information Technology, Lahore Leads University, Lahore, Pakistan",Pakistan,NA,University
"Department of Radiology, Gazi University, Faculty of Medicine, Mevlana BulvarÄ±, Yenimahalle, Ankara, Turkey",Turkey,NA,Medical Center
"Guanghua Law School and School of International Studies, Zhejiang University, Hangzhou, China",China,NA,University
"School of International Studies, Zhejiang University, Hangzhou, China",China,NA,University
"Departamento de MatemÃ¡tica Aplicada, Universitat PolitÃ¨cnica de ValÃ¨ncia, 46022 Valencia, Spain;, sanmollp@mat.upv.es, (S.M.-L.);, adolfonunezresearch@gmail.com, (A.N.-P.);, jomofer@mat.upv.es, (J.A.M.-F.)",Spain,NA,University
"Instituto de DiseÃ±o y FabricaciÃ³n, Universitat PolitÃ¨cnica de ValÃ¨ncia, 46022 Valencia, Spain;, ervefl@upv.es",Spain,NA,University
"Software Engineer, Portland State University, Portland, Oregon, USA",United States,Oregon,University
"College of Business, Al Ain University, Abu Dhabi, United Arab Emirates",United Arab Emirates,NA,University
"Department of Computer Science, Middlesex University, London, United Kingdom.",United Kingdom,NA,University
"Xavier Institute of Entrepreneurship and Management, Bangalore, Karnataka, India. Electronic address: praveenscissci@gmail.com.",India,NA,University
"Department of Dermatology, St. John's Medical College, Bangalore, IND.",India,NA,Medical Center
"Department of Dermatology, Belagavi Institute of Medical Sciences, Belagavi, IND.",India,NA,Medical Center
"Faculty of Science, Medicine, and Health, The University of Melbourne, Melbourne, VIC, Australia",Australia,NA,Medical Center
"Department of Surgery, Bendigo Health, Melbourne, VIC, Australia",Australia,NA,Medical Center
"Central Clinical School at, Monash University, Melbourne, VIC, Australia",Australia,NA,University
"Department of Intensive Care Unit, The Second Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China",China,NA,Medical Center
Training Center for Emergency Medicine (NOTIS e.V),Germany,NA,Medical Center
University of Potsdam,Germany,NA,University
"School of Tourism and Hospitality, University of Johannesburg, Johannesburg, South Africa",South Africa,NA,Medical Center
"School of Tourism, Bohai University, Jinzhou, China",China,NA,University
"Department of Anaesthesiology, Pain Center, University of Groningen, University Medical Center Groningen, Groningen, the Netherlands.",Netherlands,NA,Medical Center
"Eberhard Karls UniversitÃ¤t TÃ¼bingen, Didaktik der Chemie, Auf der Morgenstellen 18, 72074, TÃ¼bingen",Germany,NA,University
"Department of Clinical Research, Faculty of Health Science, University of Southern Denmark, Odense, Denmark",Denmark,NA,University
"Department of Clinical Pharmacology, Odense University Hospital, Odense, Denmark",Denmark,NA,Medical Center
"Department of Regional Health Research, University of Southern Denmark, Esbjerg, Denmark",Denmark,NA,University
"New York Medical College, Valhalla, New York",United States,New York,Medical Center
"Department of Dermatology, NYC Health + Hospitals/Metropolitan Medical Center, New York, New York",United States,New York,Medical Center
"Department of Medicine, NYC Health + Hospitals/South Brooklyn Health, Ruth Bader Ginsburg Hospital, Brooklyn, New York. Electronic address: Shoshana.Marmon@nychhc.org.",United States,New York,Medical Center
"University of Rennes, Rennes, France",France,NA,University
"University of Alabama, Tuscaloosa, AL, USA",United States,Alabama,University
"Institute of International Business and Economics, PoznaÅ„ University of Economics and Business, PoznaÅ„, Poland",Poland,NA,University
"Humans & AI Laboratory (HAI Lab), PoznaÅ„ University of Economics and Business, PoznaÅ„, Poland.",Poland,NA,University
"Department of Orthopedics, The Fifth Affiliated Hospital of Zunyi Medical University, Zhuhai, China.",China,NA,Medical Center
"Department of Spine Surgery, Tianjin Huanhu Hospital, Graduate School of Tianjin Medical University, Tianjin, China.",China,NA,Medical Center
"University of North Carolina Project-China, Guangzhou, China.",China,NA,University
"Duke Human Vaccine Institute, Duke University Medical Center, Durham, North Carolina, USA.",United States,North Carolina,Medical Center
"Department of Pediatrics, Division of Infectious Diseases, Duke University School of Medicine, Durham, North Carolina, USA.",United States,North Carolina,Medical Center
"Department of Plastic Surgery, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, Shuaifuyuan 1#, Dongcheng District, 100730, Beijing, Peopleâ€™s Republic of China",China,NA,Medical Center
University of TÃ¼bingen,Germany,NA,University
"University of California, Irvine",United States,California,University
"Professor, Department of Obstetrics and Gynecology, Zhongda Hospital, School of Medicine, Southeast University, Nanjing, China.",China,NA,Medical Center
"Associate professor of medical educaton, Department of Medical Education, Dr. Kiran C. Patel College of Allopathic Medicine, Nova Southeastern University, Fort Lauderdale, Florida",United States,Florida,Medical Center
ORCID: https://orcid.org/0000-0001-9668-5558.,Barbados,NA,NA
"University of Southampton, School of Health Sciences, United Kingdom of Great Britain and Northern Ireland.",United Kingdom,NA,Medical Center
"School of Media, Creative Arts and Social Inquiry, Curtin University, Perth, Australia",Australia,NA,University
"DeepVision Lab, Chaim Sheba Medical Center, Tel Hashomer, Ramat Gan, Israel",Israel,NA,Medical Center
"Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel",Israel,NA,Medical Center
"Sami Sagol AI Hub, ARC, Chaim Sheba Medical Center, Ramat Gan, Israel",Israel,NA,Medical Center
"Department of Pharmacology and Therapeutics, Seth G.S. Medical College & KEM Hospital, Parel, 400012, Mumbai, India",India,NA,Medical Center
"Umm Slal Health Center, Primary Health Care Corporation, Doha, QAT",Qatar,NA,Medical Center
"Library - emeritus, IUPUI",United States,Indiana,University
"Department of Plastic Surgery, Peninsula Health, Melbourne, Victoria, Australia.",Australia,NA,Medical Center
"University of Melbourne, Victoria, Australia.",Australia,NA,University
"University of California, Irvine, CA, USA",United States,California,University
"Biochemistry Department, LCMN, Germans Trias i Pujol University Hospital, Badalona, Spain",Spain,NA,Medical Center
"Faculty, Institute of Engineering & Technology, Srinivas University, Mangalore, India",India,NA,University
Purdue University,Brazil,NA,University
Faculty of Computer Science and Engineering - Ss. Cyril and Methodius University - Skopje Macedonia,Macedonia,NA,University
"Department of Computer Science and Engineering, The University of Aizu, Aizu-Wakamatsu 965-8580, Japan;, yutaka@u-aizu.ac.jp",Japan,NA,University
"Faculty of Health, University Witten/Herdecke, Witten, Germany",Germany,NA,Medical Center
"Department of Anaesthesiology I, University Witten/Herdecke, 58455 Witten, Germany",Germany,NA,Medical Center
"Department of Pediatric Radiology, Le Bonheur Childrenâ€™s Hospital, The University of Tennessee Health Sciences Center, 38103, Memphis, USA",United States,Tennessee,Medical Center
"Department of Informatics, University of Economics in Katowice, Katowice, Poland",Poland,NA,University
Ibn Tofail University,Morocco,NA,University
"Editor-in-Chief, Clinical Nuclear Medicinecolletti@usc.edu.",United States,California,Medical Center
"Department of Dermatology, Allergology and Venereology, Helsinki University Hospital and University of Helsinki, Helsinki, Finland",Finland,NA,Medical Center
"Department of Mechanical Engineering, University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250, USA",United States,Maryland,University
"Symbiosis Institute of Technology Symbiosis International (DU), Pune, India",India,NA,University
"School of Business, RV University, Bengaluru, India",India,NA,University
"Department of Information Technology, Hindustan Institute of Technology & Science, Chennai, 603103, India",India,NA,University
"School of Management, Hindustan Institute of Technology & Science, Chennai, 603103, India",India,NA,University
"Department of Computer Science and Engineering, Chandigarh University, Mohali, Punjab, India",India,NA,University
"Stanford Law School, Stanford, California",United States,California,University
"Department of Computer Science, Stanford University, Stanford, California",United States,California,University
"Department of Diagnostic and Interventional Radiology, Graduate School of Medicine, Osaka Metropolitan University, 1-4-3 Asahi-machi, Abeno-ku, Osaka 545-8585, Japan",Japan,NA,Medical Center
"Karsh Division of Gastroenterology and Hepatology, Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA",United States,California,Medical Center
"School of Medicine, Tulane University, New Orleans, Louisiana, USA",United States,Louisiana,Medical Center
"Health Sciences Center, University of Guadalajara, Guadalajara, Jalisco, Mexico",Mexico,NA,Medical Center
"Comprehensive Transplant Center, Cedars-Sinai Medical Center, Los Angeles, California, USA",United States,California,Medical Center
"Department of Psychiatry and Behavioral Sciences, Cedars-Sinai, Los Angeles, California, USA",United States,California,Medical Center
"Department of Ophthalmology, UniversitÃ© de MontrÃ©al, MontrÃ©al, Quebec, Canada",Canada,NA,Medical Center
"Department of Library, Chandigarh University, Punjab, India, and Department of Library and Information Science, Punjabi University, Patiala, India",India,NA,University
University of GÃ¶ttingen,Germany,NA,University
"University of Pittsburgh Medical Center, Pittsburgh, PA.",United States,Pennsylvania,Medical Center
"Department of Plastic Surgery, University of Pittsburgh, Pittsburgh, PA.",United States,Pennsylvania,Medical Center
Max Rubner-Institut,Germanyy,NA,Government
"Department of Paediatrics, Faculty of Medicine, Dentistry and Health Sciences, The University of Melbourne, Melbourne, Victoria, Australia",Australia,NA,Medical Center
"GSVM Medical College, Kanpur, Uttar Pradesh, India",India,NA,Medical Center
"Department of Ophthalmology, University of Illinois, Chicago, Illinois, USA",United States,Illinois,Medical Center
"Faculty of Foreign Studies, Beijing Language and Culture University, Beijing, China",China,NA,University
"University of Applied Sciences Munich, Munich, Germany",Germany,NA,University
Yale University,United States,Connecticut,University
"Department of Clinical Medicine, University of Copenhagen, Copenhagen, Denmark",Denmark,NA,Medical Center
"Plastic surgery residents, Division of Plastic Surgery, Department of Surgery, St. Louis University School of Medicine, St. Louis, MO, USA.",United States,Missouri,Medical Center
"Medical students, Department of Plastic Surgery, Rutgers New Jersey School of Medicine, Newark, NJ, USA.",United States,New Jersey,Medical Center
"Plastic surgery residents, Department of Plastic Surgery, Rutgers New Jersey School of Medicine, Newark, NJ, USA.",United States,New Jersey,Medical Center
"Plastic surgeon, Department of Plastic Surgery, Rutgers New Jersey School of Medicine, Â Newark, NJ, USA.",United States,New Jersey,Medical Center
"Plastic surgeon, Division of Plastic Surgery, Department of Surgery, St. Louis University School of Medicine, Â St. Louis, MO, USA.",United States,Missouri,Medical Center
"Department of Civil, Environmental & Ocean Engineering, Stevens Institute of Technology, Hoboken, USA",United States,New Jersey,University
"School of Systems and Enterprises, Stevens Institute of Technology, Hoboken, USA",United States,New Jersey,University
University of Alabama at Birmingham,United States,Alabama,University
"Laboratory of Cognition and Decision Intelligence for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China",China,NA,NA
"School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, 100049, China",China,NA,University
"School of Science, Computing and Engineering Technologies, Swinburne University of Technology, Melbourne, VIC, 3122, Australia",Australia,NA,University
"Key Laboratory of Smart Manufacturing in Energy Chemical Process, East China University of Science and Technology, Shanghai, 200237, China",China,NA,University
"Department of Business Information Systems, The University of Sydney, Sydney, Australia",Australia,NA,University
"School of Information, University of Washington, Seattle, WA 98195, USA",United States,Washington,University
"University of Nevada, Las Vegas, Las Vegas, NV 89154, USA",United States,Nevada,University
"School of Computer Engineering and Science, Shanghai University, Shanghai, 200444, China",China,NA,University
"State Key Laboratory of Advanced Special Steel, School of Materials Science and Engineering, Shanghai University, Shanghai, 200444, China",China,NA,University
"Division of Nephrology and Hypertension, Department of Medicine, Mayo Clinic, Rochester, MN, USA",United States,Minnesota,Medical Center
"Department of Decision Sciences, University of South Africa, Pretoria, South Africa",South Africa,NA,University
"Institute for Technology and Network Economics, USA",United States,NA,NA
affiliation not provided to SSRN,???,NA,NA
"Instituto de OftalmobiologÃ­a Aplicada (IOBA), Universidad de Valladolid, Valladolid, EspaÃ±a",Spain,NA,University
"Hospital ClÃ­nico Universitario de Valladolid, Valladolid, EspaÃ±a",Spain,NA,Medical Center
"Author Affiliation: Centennial Endowed Professor in Innovation in Nursing Education, Indiana University School of Nursing,600 Barnhill Drive, Indianapolis, IN 46202.",India,NA,University
"European Research Center for Information Systems, Leonardo-Campus 3, MÃ¼nster, 48149, Germany",Germany,NA,NA
"Editor-in-Chief, Clinical Simulation in Nursing, Associate Professor, College of Nursing, Mindermar Professor in Human Simulation, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, R3T 2N2, Manitoba, Canada",Canada,NA,Medical Center
"DCU Business School, Dublin City University, Ireland",Ireland,NA,University
"University of Abu Dhabi, Zayed City, Abu Dhabi, United Arab Emirates",United Arab Emirates,NA,University
"Department of Computer Engineering, Delhi Technological University, Delhi, India",India,NA,University
"Earth Observation Cultural Heritage Research Lab, Department of Civil Engineering and Geomatics, Faculty of Engineering and Technology, Cyprus University of Technology, 3036 Limassol, Cyprus",Cyprus,NA,University
"Department of Library and Information Science and Centre for Publication Ethics, Savitribai Phule Pune University, Pune, INDIA.",India,NA,University
